frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
391,7,[2.7736358642578125 369.5129699707031 472.95050048828125 870.482177734375],[290.53521728515625 705.4000244140625 403.92071533203125 765.1986083984375],0.6353456974029541,RYOICD97,0.2731310087611308
392,7,[2.3424224853515625 370.21051025390625 471.4091491699219 870.9326171875],[282.43511962890625 702.42138671875 403.3658447265625 766.7781372070312],0.626024603843689,RJOICD97',0.21648873818859546
393,7,[2.3433837890625 371.9765625 474.92193603515625 873.1898803710938],[275.8310852050781 703.03466796875 402.3829650878906 768.087646484375],0.677791953086853,J0TCD97L},0.2301930967094367
394,7,[2.165496826171875 369.1043701171875 480.48382568359375 875.1043701171875],[283.58551025390625 703.2540283203125 408.875244140625 769.0614013671875],0.6790889501571655,R.0TC0?7L,0.07773005161340592
395,7,[2.236083984375 363.9936828613281 491.9094543457031 874.681640625],[289.55218505859375 701.2542724609375 421.06146240234375 769.5723266601562],0.6732034087181091,RJOICD97,0.3352687317090221
396,7,[2.769195556640625 356.88629150390625 504.63739013671875 873.0250854492188],[296.4827880859375 698.4891357421875 425.4453125 765.0909423828125],0.660233736038208,RJ07CD97C,0.2553378538121513
397,7,[3.637939453125 349.5546569824219 516.935546875 871.1290283203125],[307.93670654296875 693.8271484375 442.22113037109375 762.498779296875],0.6519705653190613,RJOYCD97L,0.22320161809240655
399,7,[3.860504150390625 344.3242492675781 523.5430908203125 871.2401123046875],[301.106689453125 689.3414306640625 445.5999755859375 761.1226806640625],0.656628429889679,{JOTCD97,0.4892778598601359
400,7,[3.430572509765625 336.9609375 539.286865234375 868.8242797851562],[307.1819152832031 684.37158203125 453.78240966796875 758.204833984375],0.6669170260429382,RJOTCD97L",0.23433811622849457
401,7,[2.678375244140625 335.8620300292969 564.78564453125 869.1593017578125],[328.208984375 680.8104858398438 472.1842041015625 752.639404296875],0.6822727918624878,RJO1C097,0.16780222003699485
402,7,[0.263763427734375 335.52923583984375 592.1268920898438 868.472412109375],[354.2124938964844 678.9450073242188 500.5205383300781 749.2410888671875],0.6950078010559082,RJO7CD97,0.4132708783367142
404,7,[0.0 329.8474426269531 668.4661865234375 868.4813232421875],[420.6869201660156 670.1870727539062 575.2525634765625 747.9451904296875],0.6616820693016052,RJ07CD97E,0.06690376161920836
406,7,[0.0 326.723876953125 708.0814208984375 865.844970703125],[447.2778625488281 667.8195190429688 607.9278564453125 741.0418701171875],0.6985098719596863,RJOTCD974,0.5535649549586625
407,7,[0.0 321.5710144042969 704.7178344726562 865.935791015625],[439.40570068359375 666.3275146484375 598.3518676757812 740.2398681640625],0.6854549646377563,RJO1CD97,0.3152437719867575
408,7,[1.8122406005859375 318.17138671875 683.3172607421875 867.6070556640625],[416.0201110839844 667.2449951171875 577.8641357421875 740.2003173828125],0.687286376953125,'JO1CD97L,0.2898011968127531
409,7,[1.812744140625 318.2623596191406 661.8558349609375 873.3788452148438],[380.8301696777344 664.293701171875 547.1346435546875 740.245361328125],0.7113192677497864,RJOCD97L,0.16698672137130816
410,7,[1.0923614501953125 314.8140563964844 624.7691040039062 872.8758544921875],[339.2484130859375 667.7601928710938 515.1536254882812 746.861572265625],0.6935753226280212,JO1CD972,0.30353058565303875
411,7,[0.5174102783203125 314.7645263671875 592.1737060546875 876.2332763671875],[301.29180908203125 670.84326171875 478.2791748046875 748.6019287109375],0.6756041049957275,RJOTCD97E,0.2236700317493969
413,7,[0.0 315.3955383300781 516.176025390625 824.761962890625],[205.70050048828125 679.9259643554688 395.2196960449219 756.6983032226562],0.7037427425384521,RJOTCD97L-,0.2079777491402475
415,7,[1.719451904296875 315.248291015625 439.53204345703125 835.5382690429688],[115.17222595214844 687.7952880859375 309.5343017578125 765.35986328125],0.6778581738471985,JO1CD97L",0.14027906166035956
418,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[939.039794921875 628.3782348632812 1077.2283935546875 696.9268798828125],0.5974255204200745,MP17CC72Z1,0.07816751190423155
419,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[911.9700927734375 639.8384399414062 1050.87255859375 700.9605102539062],0.6368353962898254,HP1ZCCT2ZI,0.08955134275666236
420,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[883.9229736328125 639.7205810546875 1029.533203125 705.9536743164062],0.6200535893440247,MP17CC72Z1,0.3236683262273086
421,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[853.2288208007812 642.3217163085938 1001.7562866210938 706.4445190429688],0.641433596611023,MP17CC72ZI,0.30831618687929374
422,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[821.180419921875 648.8392333984375 968.848388671875 706.8112182617188],0.6295366287231445,MP17CC72ZM,0.43357082786943146
423,11,[610.8809814453125 473.8039855957031 1076.6961669921875 809.5858154296875],[789.9570922851562 655.2578735351562 932.2692260742188 717.0026245117188],0.6781271696090698,MP17CC7221,0.3900361472524022
424,11,[610.8809814453125 473.8039855957031 1076.6961669921875 809.5858154296875],[755.7306518554688 654.5487060546875 908.8767700195312 718.7781982421875],0.663483738899231,AP17CC72Z1,0.2948769070597468
425,12,[271.50146484375 366.8204040527344 962.8458251953125 846.1034545898438],[721.1982421875 658.6347045898438 868.707275390625 718.3640747070312],0.6615699529647827,HP17CC722T,0.3533167145490737
426,12,[236.58892822265625 366.52880859375 934.2866821289062 847.9216918945312],[684.9801025390625 661.1583251953125 836.4775390625 723.8182983398438],0.6693755984306335,NP17CC7221,0.4787464959509822
427,12,[202.58084106445312 364.8116760253906 900.220458984375 853.3727416992188],[646.3040771484375 665.9083862304688 798.6444091796875 724.1340942382812],0.6361915469169617,HP17CC7221,0.564451807102252
428,12,[174.33956909179688 365.7176513671875 859.48486328125 857.42138671875],[600.8410034179688 668.29638671875 762.5899658203125 729.5967407226562],0.6178943514823914,HP17CC72ZT,0.3424584539342514
429,12,[139.97671508789062 365.3707580566406 824.8368530273438 858.4963989257812],[563.767333984375 669.2957153320312 721.9044189453125 731.2842407226562],0.6462441682815552,MP17CC7221,0.35548078897914953
430,12,[100.58404541015625 363.9612121582031 786.7014770507812 861.8424072265625],[518.229736328125 672.4260864257812 680.4342041015625 737.67626953125],0.6168053150177002,MP1ZCC7221,0.2665952885110544
431,12,[63.81317138671875 361.603271484375 748.502685546875 866.0325927734375],[469.3812561035156 669.8313598632812 643.0106201171875 741.921142578125],0.6434658169746399,HP17CC722Y,,0.18324662209118286
432,12,[28.664588928222656 362.14947509765625 707.5616455078125 875.1434326171875],[423.42645263671875 675.0955810546875 601.6029052734375 748.7649536132812],0.6544893980026245,HP17CC7221,,0.3688604739988895
433,12,[0.17156982421875 363.90216064453125 664.7642822265625 879.7640991210938],[375.3056945800781 676.090087890625 558.8834228515625 753.093505859375],0.6791512370109558,MP17CC7221,,0.526280436339557
434,12,[3.027191162109375 364.7132873535156 627.729248046875 885.1373291015625],[330.16534423828125 685.9197998046875 512.076904296875 756.679443359375],0.6993743777275085,HP17CC7221,0.8568403958713757
435,12,[0.0 360.9164123535156 584.1922607421875 889.8213500976562],[279.4003601074219 688.9531860351562 471.3906555175781 762.1414794921875],0.6114640235900879,HP17CC7221,0.7499715933353872
436,12,[0.0771331787109375 357.3324279785156 543.589111328125 892.2280883789062],[231.65203857421875 692.8419189453125 423.79852294921875 756.16748046875],0.6084827184677124,NP17CC7221,0.4793820637921033
