frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
402,7,[0.263763427734375 335.52923583984375 592.1268920898438 868.472412109375],[354.2124938964844 678.9450073242188 500.5205383300781 749.2410888671875],0.6950078010559082,RJ01CD9741,0.20736203666904188
412,7,[0.0 316.8439636230469 556.774658203125 823.47998046875],[256.58868408203125 673.2027587890625 438.92022705078125 751.254150390625],0.6892653703689575,RJ01CD9741,0.28377508282086394
413,7,[0.0 315.3955383300781 516.176025390625 824.761962890625],[205.70050048828125 679.9259643554688 395.2196960449219 756.6983032226562],0.7037427425384521,RJ01CD9741,0.4280169173167641
418,7,[3.558666229248047 323.2303161621094 322.1018371582031 844.4452514648438],[7.01861572265625 699.7450561523438 180.29127502441406 771.2646484375],0.6519291996955872,RJ01CD9741,0.41085745439717264
418,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[939.039794921875 628.3782348632812 1077.2283935546875 696.9268798828125],0.5974255204200745,MP17CC7229,0.40629227551524
421,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[853.2288208007812 642.3217163085938 1001.7562866210938 706.4445190429688],0.641433596611023,MP17CC7221,0.5183180605224158
425,12,[271.50146484375 366.8204040527344 962.8458251953125 846.1034545898438],[721.1982421875 658.6347045898438 868.707275390625 718.3640747070312],0.6615699529647827,HP17CC7221,0.6743959247640992
428,12,[174.33956909179688 365.7176513671875 859.48486328125 857.42138671875],[600.8410034179688 668.29638671875 762.5899658203125 729.5967407226562],0.6178943514823914,MP17CC7221,0.6180673353191093
431,12,[63.81317138671875 361.603271484375 748.502685546875 866.0325927734375],[469.3812561035156 669.8313598632812 643.0106201171875 741.921142578125],0.6434658169746399,HP17CC7221,0.7416771014583565
432,12,[28.664588928222656 362.14947509765625 707.5616455078125 875.1434326171875],[423.42645263671875 675.0955810546875 601.6029052734375 748.7649536132812],0.6544893980026245,HP17CC7221,0.8631900688955734
434,12,[3.027191162109375 364.7132873535156 627.729248046875 885.1373291015625],[330.16534423828125 685.9197998046875 512.076904296875 756.679443359375],0.6993743777275085,HP17CC7221,0.9296177090639971
437,12,[0.847686767578125 355.5852966308594 500.08135986328125 876.3869018554688],[183.204345703125 692.3989868164062 376.2173767089844 758.0584106445312],0.6197664141654968,MP17CC7221,0.575290828027137
438,12,[2.9690093994140625 351.9166259765625 456.8258972167969 876.8846435546875],[132.38751220703125 693.4136962890625 326.9452209472656 759.5997314453125],0.6314405202865601,MP17CC7221,0.8439130174865311
439,12,[0.432769775390625 354.6378479003906 411.0528564453125 881.9752197265625],[71.40296173095703 692.381591796875 283.6575012207031 767.0556640625],0.5274990797042847,MP17CC7221,0.8392903308033174
