frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
359,7,[289.1612548828125 447.1081237792969 1080.0 843.4371337890625],[982.8217163085938 731.25439453125 1037.707275390625 771.7474365234375],0.33745285868644714,Invalid plate structure,0.01998615405213606
360,7,[267.4062194824219 447.35137939453125 1069.001953125 842.3785400390625],[951.8355712890625 729.1279296875 1022.6094970703125 775.7020263671875],0.29638946056365967,Invalid plate structure,0.06600513994659366
361,7,[248.31161499023438 446.0479431152344 1039.031982421875 845.3587646484375],[943.9775390625 730.3609619140625 1000.1672973632812 775.3333740234375],0.46641457080841064,Invalid plate structure,0.03665301203727722
365,7,[134.29669189453125 429.36639404296875 944.652587890625 842.1357421875],[850.9522705078125 719.12353515625 920.738525390625 771.187255859375],0.43198055028915405,Invalid plate structure,0.02168683551090243
367,7,[78.903076171875 427.67156982421875 897.701171875 843.3341674804688],[799.3699951171875 721.6166381835938 864.22119140625 766.464599609375],0.5427009463310242,Invalid plate structure,0.04144419729709625
368,7,[60.169921875 427.60894775390625 869.1886596679688 844.5510864257812],[771.804443359375 720.3290405273438 840.75537109375 768.45068359375],0.5277624726295471,Invalid plate structure,0.34467914808990335
369,7,[26.6773681640625 424.5652770996094 846.3988037109375 845.5355224609375],[747.1290893554688 722.4354248046875 817.9491577148438 766.341552734375],0.5359020829200745,Invalid plate structure,0.050426577859412354
370,7,[6.414276123046875 420.3629150390625 831.06884765625 847.6968383789062],[720.1588745117188 722.9398193359375 794.1932373046875 767.0491943359375],0.4999518394470215,Invalid plate structure,0.15809214438572383
371,7,[5.735595703125 415.57379150390625 804.5321044921875 846.6055297851562],[696.8759765625 720.39013671875 768.2199096679688 767.0386962890625],0.54996258020401,Invalid plate structure,0.03879906574854815
372,7,[4.68658447265625 411.44439697265625 780.3506469726562 844.704345703125],[666.2706298828125 718.8914794921875 742.3947143554688 766.2691040039062],0.5581917762756348,Invalid plate structure,0.12278108333519569
373,7,[2.5743942260742188 408.9551696777344 753.0198974609375 845.4840087890625],[639.9871215820312 715.85107421875 713.8643188476562 764.9931640625],0.5663979649543762,Invalid plate structure,0.3112877469440259
374,7,[3.5035858154296875 406.82574462890625 728.3169555664062 845.580810546875],[612.6322631835938 714.6275024414062 688.814208984375 762.7301025390625],0.5739843249320984,Invalid plate structure,0.0448181633206195
375,7,[0.0 407.96026611328125 705.123291015625 847.716064453125],[584.220458984375 713.6116333007812 662.4296875 762.444580078125],0.5488430261611938,Invalid plate structure,0.01451581374134628
376,7,[0.372344970703125 401.3126220703125 676.4610595703125 847.1943969726562],[559.5206909179688 715.5709228515625 637.3826293945312 762.408203125],0.547607958316803,Invalid plate structure,0.01631139611950117
377,7,[0.299652099609375 398.0558166503906 655.8682861328125 847.6349487304688],[532.7197265625 715.171875 612.7109985351562 759.6780395507812],0.5779683589935303,Invalid plate structure,0.017900129919953253
378,7,[0.44952392578125 395.1419677734375 631.91455078125 850.2819213867188],[505.40838623046875 711.17822265625 587.4180297851562 757.4100341796875],0.6673352718353271,Invalid plate structure,0.00718626245925164
379,7,[0.493560791015625 392.80645751953125 609.5480346679688 853.144775390625],[474.7547607421875 711.879638671875 563.328369140625 761.2261962890625],0.638416051864624,Invalid plate structure,0.07128178899056199
380,7,[0.0 385.71148681640625 584.1288452148438 851.7636108398438],[447.944091796875 710.4022216796875 538.9639892578125 759.098388671875],0.6568182110786438,Invalid plate structure,0.06321775146787649
381,7,[0.309814453125 386.9129333496094 565.1226806640625 853.9954833984375],[424.6026306152344 709.44677734375 515.8953857421875 759.0924072265625],0.6556242108345032,Invalid plate structure,0.33483594505289616
382,7,[0.28143310546875 383.4371337890625 544.4580688476562 855.237548828125],[399.3677673339844 706.7777099609375 493.7800598144531 760.1323852539062],0.6532401442527771,Invalid plate structure,0.10328569509024807
383,7,[2.6157989501953125 380.6013488769531 526.6767578125 856.7786865234375],[380.93133544921875 707.4427490234375 473.34759521484375 758.213134765625],0.6169732213020325,Invalid plate structure,0.08636132376123963
384,7,[1.875732421875 380.93096923828125 512.84375 859.84423828125],[361.4676818847656 707.0032958984375 460.1494445800781 760.472412109375],0.6710938811302185,Invalid plate structure,0.09595809680240858
385,7,[2.130523681640625 380.0776062011719 502.9073181152344 862.9190673828125],[344.2647399902344 707.041015625 445.78582763671875 761.35400390625],0.66631019115448,Invalid plate structure,0.05436453428406196
386,7,[2.176483154296875 385.61004638671875 494.1646728515625 866.0548095703125],[331.6260681152344 706.697021484375 439.63970947265625 765.9808959960938],0.6716644763946533,Invalid plate structure,0.04396517228744954
387,7,[2.855712890625 379.9096984863281 485.57666015625 866.0787963867188],[325.9384460449219 706.6370849609375 428.78558349609375 768.475830078125],0.6257399320602417,Invalid plate structure,0.07015927731405168
388,7,[2.59698486328125 376.6817321777344 483.08209228515625 867.9151611328125],[315.4798889160156 706.9315795898438 423.1644287109375 765.73974609375],0.6490055322647095,Invalid plate structure,0.22866167267724472
389,7,[2.3082275390625 370.5046691894531 480.9577331542969 866.9961547851562],[305.9431457519531 704.542236328125 419.1274108886719 766.9478759765625],0.6715622544288635,Invalid plate structure,0.20010794882355115
389,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[844.1896362304688 682.681884765625 915.7377319335938 728.2843627929688],0.39380910992622375,Invalid plate structure,0.17332092092100146
390,7,[0.0 371.08392333984375 476.42449951171875 871.3642578125],[300.56915283203125 705.687744140625 417.045654296875 766.9912719726562],0.6938654780387878,Invalid plate structure,0.37358308501131654
391,7,[2.7736358642578125 369.5129699707031 472.95050048828125 870.482177734375],[290.53521728515625 705.4000244140625 403.92071533203125 765.1986083984375],0.6353456974029541,Invalid plate structure,0.29545330336429537
392,7,[2.3424224853515625 370.21051025390625 471.4091491699219 870.9326171875],[282.43511962890625 702.42138671875 403.3658447265625 766.7781372070312],0.626024603843689,Invalid plate structure,0.22295883953530973
392,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[852.6480102539062 677.0628051757812 926.0432739257812 721.1835327148438],0.27646252512931824,Invalid plate structure,0.09668568817134482
393,7,[2.3433837890625 371.9765625 474.92193603515625 873.1898803710938],[275.8310852050781 703.03466796875 402.3829650878906 768.087646484375],0.677791953086853,Invalid plate structure,0.4203407155732845
393,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[865.27587890625 672.4002685546875 940.7845458984375 719.3433837890625],0.27151012420654297,Invalid plate structure,0.08056353900798095
394,7,[2.165496826171875 369.1043701171875 480.48382568359375 875.1043701171875],[283.58551025390625 703.2540283203125 408.875244140625 769.0614013671875],0.6790889501571655,Invalid plate structure,0.08555196915811801
395,7,[2.236083984375 363.9936828613281 491.9094543457031 874.681640625],[289.55218505859375 701.2542724609375 421.06146240234375 769.5723266601562],0.6732034087181091,Invalid plate structure,0.17464920419835678
