frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
383,7,[2.6157989501953125 380.6013488769531 526.6767578125 856.7786865234375],[380.93133544921875 707.4427490234375 473.34759521484375 758.213134765625],0.6169732213020325,RJD|CD97LU,0.08636132376123963
386,7,[2.176483154296875 385.61004638671875 494.1646728515625 866.0548095703125],[331.6260681152344 706.697021484375 439.63970947265625 765.9808959960938],0.6716644763946533,RUDICHSZ41,0.04396517228744954
388,7,[2.59698486328125 376.6817321777344 483.08209228515625 867.9151611328125],[315.4798889160156 706.9315795898438 423.1644287109375 765.73974609375],0.6490055322647095,RJOICDS741,0.22866167267724472
393,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[865.27587890625 672.4002685546875 940.7845458984375 719.3433837890625],0.27151012420654297,VMP47CCZZI,0.08056353900798095
395,7,[2.236083984375 363.9936828613281 491.9094543457031 874.681640625],[289.55218505859375 701.2542724609375 421.06146240234375 769.5723266601562],0.6732034087181091,RJOICD9744,0.17464920419835678
396,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[916.099365234375 665.3348388671875 1003.58056640625 720.6864624023438],0.40801599621772766,NP17CC7221,0.18407811306321126
397,7,[3.637939453125 349.5546569824219 516.935546875 871.1290283203125],[307.93670654296875 693.8271484375 442.22113037109375 762.498779296875],0.6519705653190613,RJ01C09741,0.263946257879469
398,7,[3.6394500732421875 348.1187438964844 530.78564453125 872.722412109375],[314.23291015625 691.5198974609375 455.39697265625 761.27685546875],0.6570417284965515,RUQ1CD974],0.09129644746931939
399,7,[3.860504150390625 344.3242492675781 523.5430908203125 871.2401123046875],[301.106689453125 689.3414306640625 445.5999755859375 761.1226806640625],0.656628429889679,RJO1C09741,0.10547441842885878
400,7,[3.430572509765625 336.9609375 539.286865234375 868.8242797851562],[307.1819152832031 684.37158203125 453.78240966796875 758.204833984375],0.6669170260429382,RUO1CD9741,0.33434097597891493
401,7,[2.678375244140625 335.8620300292969 564.78564453125 869.1593017578125],[328.208984375 680.8104858398438 472.1842041015625 752.639404296875],0.6822727918624878,RJO1CD9741,0.26781878194635955
402,7,[0.263763427734375 335.52923583984375 592.1268920898438 868.472412109375],[354.2124938964844 678.9450073242188 500.5205383300781 749.2410888671875],0.6950078010559082,RJ01CD9741,0.20736203666904188
403,7,[1.1927947998046875 334.2548828125 626.6595458984375 868.9876708984375],[384.4931945800781 677.6358642578125 531.3719482421875 748.34716796875],0.7112562656402588,RJ01C09741,0.08166965596633619
404,7,[0.0 329.8474426269531 668.4661865234375 868.4813232421875],[420.6869201660156 670.1870727539062 575.2525634765625 747.9451904296875],0.6616820693016052,RJOICD97G1,0.1473442419052115
407,7,[0.0 321.5710144042969 704.7178344726562 865.935791015625],[439.40570068359375 666.3275146484375 598.3518676757812 740.2398681640625],0.6854549646377563,RJO1CD9741,0.6298842155234582
409,7,[1.812744140625 318.2623596191406 661.8558349609375 873.3788452148438],[380.8301696777344 664.293701171875 547.1346435546875 740.245361328125],0.7113192677497864,RJO1CD9741,0.20662921325421033
410,7,[1.0923614501953125 314.8140563964844 624.7691040039062 872.8758544921875],[339.2484130859375 667.7601928710938 515.1536254882812 746.861572265625],0.6935753226280212,RJO1CD97L1,0.5350739507058032
411,7,[0.5174102783203125 314.7645263671875 592.1737060546875 876.2332763671875],[301.29180908203125 670.84326171875 478.2791748046875 748.6019287109375],0.6756041049957275,RJO1CD9741,0.7283315622039378
412,7,[0.0 316.8439636230469 556.774658203125 823.47998046875],[256.58868408203125 673.2027587890625 438.92022705078125 751.254150390625],0.6892653703689575,RJ01CD9741,0.28377508282086394
413,7,[0.0 315.3955383300781 516.176025390625 824.761962890625],[205.70050048828125 679.9259643554688 395.2196960449219 756.6983032226562],0.7037427425384521,RJ01CD9741,0.4280169173167641
414,7,[1.307281494140625 317.07928466796875 476.5631103515625 832.3804931640625],[162.55641174316406 682.5548095703125 350.062255859375 757.8699951171875],0.7069219946861267,RJO1CD97G],0.2687501887051268
415,7,[1.719451904296875 315.248291015625 439.53204345703125 835.5382690429688],[115.17222595214844 687.7952880859375 309.5343017578125 765.35986328125],0.6778581738471985,RJ01C09741,0.2346982336317968
417,7,[2.7852630615234375 320.455078125 361.07940673828125 841.7056884765625],[27.889892578125 692.0780029296875 226.3555908203125 776.0098876953125],0.6916234493255615,RJO1CD97G1,0.21755894436731832
418,7,[3.558666229248047 323.2303161621094 322.1018371582031 844.4452514648438],[7.01861572265625 699.7450561523438 180.29127502441406 771.2646484375],0.6519291996955872,RJ01CD9741,0.41085745439717264
418,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[939.039794921875 628.3782348632812 1077.2283935546875 696.9268798828125],0.5974255204200745,MP17CC7229,0.40629227551524
419,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[911.9700927734375 639.8384399414062 1050.87255859375 700.9605102539062],0.6368353962898254,MP17CC7221,0.18190010904198722
421,10,[664.5336303710938 476.7668151855469 1080.0 815.497314453125],[853.2288208007812 642.3217163085938 1001.7562866210938 706.4445190429688],0.641433596611023,MP17CC7221,0.5183180605224158
425,12,[271.50146484375 366.8204040527344 962.8458251953125 846.1034545898438],[721.1982421875 658.6347045898438 868.707275390625 718.3640747070312],0.6615699529647827,HP17CC7221,0.6743959247640992
427,12,[202.58084106445312 364.8116760253906 900.220458984375 853.3727416992188],[646.3040771484375 665.9083862304688 798.6444091796875 724.1340942382812],0.6361915469169617,MP1ZCC7220,0.24842888124167975
428,12,[174.33956909179688 365.7176513671875 859.48486328125 857.42138671875],[600.8410034179688 668.29638671875 762.5899658203125 729.5967407226562],0.6178943514823914,MP17CC7221,0.6180673353191093
430,12,[100.58404541015625 363.9612121582031 786.7014770507812 861.8424072265625],[518.229736328125 672.4260864257812 680.4342041015625 737.67626953125],0.6168053150177002,MP17CC722C,0.11309395882327225
431,12,[63.81317138671875 361.603271484375 748.502685546875 866.0325927734375],[469.3812561035156 669.8313598632812 643.0106201171875 741.921142578125],0.6434658169746399,HP17CC7221,0.7416771014583565
432,12,[28.664588928222656 362.14947509765625 707.5616455078125 875.1434326171875],[423.42645263671875 675.0955810546875 601.6029052734375 748.7649536132812],0.6544893980026245,HP17CC7221,0.8631900688955734
434,12,[3.027191162109375 364.7132873535156 627.729248046875 885.1373291015625],[330.16534423828125 685.9197998046875 512.076904296875 756.679443359375],0.6993743777275085,HP17CC7221,0.9296177090639971
437,12,[0.847686767578125 355.5852966308594 500.08135986328125 876.3869018554688],[183.204345703125 692.3989868164062 376.2173767089844 758.0584106445312],0.6197664141654968,MP17CC7221,0.575290828027137
438,12,[2.9690093994140625 351.9166259765625 456.8258972167969 876.8846435546875],[132.38751220703125 693.4136962890625 326.9452209472656 759.5997314453125],0.6314405202865601,MP17CC7221,0.8439130174865311
439,12,[0.432769775390625 354.6378479003906 411.0528564453125 881.9752197265625],[71.40296173095703 692.381591796875 283.6575012207031 767.0556640625],0.5274990797042847,MP17CC7221,0.8392903308033174
440,12,[2.620342254638672 356.7623291015625 365.5074462890625 886.7525634765625],[29.136268615722656 698.4746704101562 232.335205078125 766.27587890625],0.5508126616477966,MP17CC7221,0.30771483667914595
460,13,[296.0629577636719 424.9871520996094 1063.762451171875 864.5381469726562],[874.2544555664062 719.757568359375 989.8319091796875 772.81884765625],0.6742746829986572,RJOZCEG14O,0.5425034912948276
462,13,[243.41592407226562 422.7356872558594 1015.2236328125 868.3170166015625],[818.6063232421875 722.5108642578125 935.6240844726562 778.1343994140625],0.7114565968513489,RJOZCE6ILO,0.12851547063370056
465,13,[163.1846923828125 416.7309265136719 938.9895629882812 878.552001953125],[731.2725830078125 725.0838623046875 857.7823486328125 781.0994873046875],0.7177083492279053,RJOZCEGILO,0.3370599966796229
466,13,[138.404296875 411.8873291015625 914.01123046875 878.88525390625],[700.8017578125 725.3501586914062 830.31005859375 781.0017700195312],0.7071491479873657,RJOZCEGI4O,0.28133153025162655
467,13,[112.86053466796875 410.1669616699219 890.4739379882812 880.9083251953125],[674.0418090820312 725.1624755859375 804.1093139648438 781.33642578125],0.702505350112915,RJOZCEGILO,0.11929777665608003
469,13,[58.98138427734375 405.6208190917969 844.241455078125 881.546875],[616.1244506835938 725.926025390625 749.9141235351562 779.721435546875],0.7266934514045715,RJOZCEGILO,0.29605763920145856
470,13,[33.8250732421875 404.5623779296875 819.4810180664062 887.2218017578125],[586.3385009765625 727.404296875 719.1403198242188 784.35009765625],0.726656973361969,RJOZCEGI4O,0.29684553542557096
472,13,[0.0 392.1156921386719 764.1778564453125 892.95849609375],[521.8876953125 727.0977172851562 664.242431640625 788.1201782226562],0.6966629028320312,RJOZCEGILO,0.3334696115518228
473,13,[0.0 391.8548583984375 734.7650756835938 891.2741088867188],[486.94293212890625 727.197998046875 636.1912841796875 792.554931640625],0.6935479640960693,RJOZCEGILO,0.3396234147034746
475,13,[0.0 390.8205871582031 676.5513305664062 903.654052734375],[420.488525390625 733.91455078125 572.4169921875 795.7706298828125],0.6748589277267456,RJOZCE61L0,0.3313440207313802
476,13,[0.0 388.1363525390625 652.690673828125 904.4859008789062],[383.86358642578125 733.562744140625 541.5003662109375 800.14208984375],0.7231655120849609,RJOZCEGILO,0.31087751193771246
477,13,[0.0 379.238525390625 622.811767578125 906.8527221679688],[350.49700927734375 732.424560546875 511.17791748046875 798.0819091796875],0.7017326354980469,RJOZCE614O,0.4383341865085532
478,13,[0.0 376.2008056640625 590.8504638671875 906.8095703125],[308.2032165527344 732.053466796875 476.92803955078125 796.2509765625],0.6752285957336426,RJOZCE61LO,0.42320123851831265
479,13,[0.0 380.712158203125 557.753173828125 905.90478515625],[271.30194091796875 731.7434692382812 439.1951904296875 798.4144287109375],0.6925597786903381,RJOZCEG1LO,0.4088123855611542
480,13,[0.0 370.295654296875 527.0726318359375 896.1290283203125],[234.9408416748047 732.5501708984375 404.0147705078125 798.1383056640625],0.6718664169311523,RJOZCE6140,0.47289811915292745
481,13,[0.45172119140625 369.61669921875 495.6459045410156 892.9417724609375],[192.71209716796875 730.0279541015625 372.11431884765625 799.3687133789062],0.6611313223838806,RJOZCE61LO,0.5371054890484289
482,13,[0.5390167236328125 366.1387023925781 462.316162109375 895.638427734375],[153.28262329101562 730.1823120117188 334.64764404296875 800.6904296875],0.6727792620658875,RJOZCE6IL0,0.24293735559668458
483,13,[0.68426513671875 367.0789489746094 426.4266357421875 895.455078125],[107.65290069580078 728.6444091796875 297.8269348144531 801.8536376953125],0.6972184777259827,RJOZCE61LO,0.44454936215372354
484,13,[0.0 370.6260070800781 391.1351318359375 895.3582763671875],[63.92362976074219 728.9456176757812 258.92596435546875 802.2861328125],0.7189271450042725,RJOZCE61LQ,0.45560164599865566
485,13,[0.8578605651855469 364.2296447753906 357.970458984375 899.052978515625],[24.085647583007812 728.567138671875 219.42466735839844 802.0651245117188],0.6739498972892761,RJOZCE61LO,0.6670858553997747
486,13,[2.009937286376953 365.2786560058594 320.4810791015625 900.381591796875],[3.684041976928711 730.370849609375 176.6699981689453 801.6849365234375],0.6770049929618835,RJOZCES1LO,0.3322145554122348
506,7,[278.873291015625 401.4895935058594 1058.25244140625 862.575927734375],[805.7373046875 604.274169921875 913.2645263671875 660.0228881835938],0.5970975160598755,HH110H2972,0.15924707305004782
507,7,[278.873291015625 401.4895935058594 1058.25244140625 862.575927734375],[779.14599609375 602.689453125 889.09423828125 660.6619262695312],0.6440050005912781,HH140H2972,0.12474857677301436
509,7,[278.873291015625 401.4895935058594 1058.25244140625 862.575927734375],[727.137939453125 603.0159912109375 839.4991455078125 658.1314086914062],0.6239771842956543,KHI10H2972,0.1461964300675445
514,7,[278.873291015625 401.4895935058594 1058.25244140625 862.575927734375],[589.4012451171875 603.50634765625 707.831298828125 657.798095703125],0.6060115098953247,HH140H2972,0.2339709254084463
524,12,[500.37396240234375 418.640625 1078.3048095703125 852.4244384765625],[961.8826904296875 724.17138671875 1062.920654296875 775.7293701171875],0.48093241453170776,LR2OCHG2YD,0.09129726654816439
530,14,[2.4937591552734375 322.3080139160156 328.65093994140625 886.84228515625],[12.8734130859375 576.9605712890625 195.1764678955078 650.240478515625],0.5808840394020081,HH110H2972,0.3231261845520758
532,7,[241.93304443359375 429.5946350097656 956.8247680664062 875.536376953125],[773.8101196289062 711.9871215820312 886.7391357421875 772.0081787109375],0.6973167061805725,MP2OCA9297,0.19790691852645215
536,7,[75.46536254882812 421.60784912109375 852.7100830078125 880.1103515625],[644.255859375 715.318603515625 768.7058715820312 775.1641845703125],0.6529867053031921,DP2OCHG2GI,0.15299046804556501
540,7,[75.46536254882812 421.60784912109375 852.7100830078125 880.1103515625],[505.9715881347656 711.5159912109375 643.255859375 776.1926879882812],0.6815686821937561,HP2OCA9297,0.5213591331012315
541,7,[75.46536254882812 421.60784912109375 852.7100830078125 880.1103515625],[468.4858703613281 710.4889526367188 611.8394775390625 775.031982421875],0.6819514036178589,HP2OCA9297,0.3351601230969119
542,7,[75.46536254882812 421.60784912109375 852.7100830078125 880.1103515625],[432.029052734375 712.4501953125 574.3548583984375 777.3297729492188],0.7014480829238892,MP2OCA9297,0.44911282355181165
543,7,[75.46536254882812 421.60784912109375 852.7100830078125 880.1103515625],[392.388427734375 712.14697265625 542.93115234375 781.3822631835938],0.6681253910064697,MPROCA9297,0.550642798284254
544,7,[75.46536254882812 421.60784912109375 852.7100830078125 880.1103515625],[356.902587890625 715.9593505859375 506.1098327636719 783.244140625],0.6855040788650513,MPZOCA9297,0.6456289038950559
550,14,[0.17334365844726562 403.6249694824219 371.36309814453125 890.0249633789062],[73.16000366210938 732.5909423828125 267.27752685546875 801.3829345703125],0.5520574450492859,HP20CAG297,0.21458945744413793
573,20,[548.9456176757812 534.4422607421875 1074.31689453125 1011.5765991210938],[717.37744140625 812.34228515625 884.1058349609375 885.3427734375],0.6753824949264526,MPO9HLL9L],0.2533590818871418
582,20,[362.95074462890625 442.919677734375 957.1435546875 992.057861328125],[563.625244140625 784.7451782226562 758.2779541015625 860.2904663085938],0.6847982406616211,HPO9HLL9L1,0.19775439606160122
584,20,[353.0888671875 429.5386962890625 979.12890625 994.4696044921875],[565.458251953125 783.3198852539062 764.0147705078125 859.0453491210938],0.708048939704895,MPO9KLL9L",0.3740208294799114
592,20,[346.2828369140625 385.9415588378906 1054.4385986328125 1034.46142578125],[604.1282958984375 805.1915283203125 846.4510498046875 898.0252685546875],0.767247200012207,MPO9KLL9L1,0.35075938731504264
593,20,[348.94134521484375 384.34295654296875 1068.38232421875 1036.40380859375],[613.96337890625 809.9136962890625 864.0346069335938 905.5245361328125],0.7465872168540955,MPO9KLL9L1,0.5261404954163974
600,20,[408.84185791015625 365.7114562988281 1080.0 1121.399658203125],[741.9472045898438 877.6444702148438 1034.762939453125 992.3519897460938],0.7528155446052551,MPO9HLL9G1,0.40033873898334904
